url,occurrence_files,verification
http://yann.lecun.com/exdb/publis/pdf/lecun-06.pdf,archive/repo/papers/KnowledgeSources.md,aus_quelltext_extrahiert_nicht_neu_verifiziert
https://academic.oup.com/qje/article/140/2/889/7990658,archive/repo/product-definition/latest/research/wayfinder-deep-audit-2026-08/source-register.md,aus_quelltext_extrahiert_nicht_neu_verifiziert
https://aclanthology.org/2025.acl-demo.11/,archive/repo/product-definition/latest/research/wayfinder-deep-audit-2026-08/fact-logic-decision-graph.yaml | archive/repo/product-definition/latest/research/wayfinder-deep-audit-2026-08/source-register.md,aus_quelltext_extrahiert_nicht_neu_verifiziert
https://agently.dev/,archive/repo/product-definition/latest/research/agently-and-the-company-brain-category-2026-08.md,aus_quelltext_extrahiert_nicht_neu_verifiziert
https://agently.dev/blog/ai-work-os,archive/repo/product-definition/latest/research/agently-and-the-company-brain-category-2026-08.md,aus_quelltext_extrahiert_nicht_neu_verifiziert
https://agently.dev/blog/ai-work-os-for-startups,archive/repo/product-definition/latest/research/agently-and-the-company-brain-category-2026-08.md,aus_quelltext_extrahiert_nicht_neu_verifiziert
https://agently.dev/blog/company-brain,archive/repo/product-definition/latest/research/agently-and-the-company-brain-category-2026-08.md,aus_quelltext_extrahiert_nicht_neu_verifiziert
https://agently.dev/blog/glean-alternative,archive/repo/product-definition/latest/research/agently-and-the-company-brain-category-2026-08.md,aus_quelltext_extrahiert_nicht_neu_verifiziert
https://agently.dev/blog/zapier-alternative,archive/repo/product-definition/latest/research/agently-and-the-company-brain-category-2026-08.md,aus_quelltext_extrahiert_nicht_neu_verifiziert
https://agently.dev/docs/brain,archive/repo/product-definition/latest/research/agently-and-the-company-brain-category-2026-08.md,aus_quelltext_extrahiert_nicht_neu_verifiziert
https://agently.dev/docs/core-concepts,archive/repo/product-definition/latest/research/agently-and-the-company-brain-category-2026-08.md,aus_quelltext_extrahiert_nicht_neu_verifiziert
https://agently.dev/docs/integrations,archive/repo/product-definition/latest/research/agently-and-the-company-brain-category-2026-08.md,aus_quelltext_extrahiert_nicht_neu_verifiziert
https://agently.dev/docs/mcp-server,archive/repo/product-definition/latest/research/agently-and-the-company-brain-category-2026-08.md,aus_quelltext_extrahiert_nicht_neu_verifiziert
https://agently.dev/docs/security-and-privacy,archive/repo/product-definition/latest/research/agently-and-the-company-brain-category-2026-08.md,aus_quelltext_extrahiert_nicht_neu_verifiziert
https://agently.dev/live,archive/repo/product-definition/latest/research/agently-and-the-company-brain-category-2026-08.md,aus_quelltext_extrahiert_nicht_neu_verifiziert
https://agently.dev/pricing,archive/repo/product-definition/latest/research/agently-and-the-company-brain-category-2026-08.md,aus_quelltext_extrahiert_nicht_neu_verifiziert
https://ai-act-service-desk.ec.europa.eu/en/ai-act/eu-ai-act-implementation-timeline,archive/repo/product-definition/latest/handoffs/Consultry-Investor-Pitchdeck-v10.105-Revision-Handover-v0.1.md,aus_quelltext_extrahiert_nicht_neu_verifiziert
https://ai.azure.com/catalog/models/gpt-5.6-sol,archive/repo/product-definition/latest/Consultry-Idea-Presentation-Baseline-v1.0.md | archive/repo/product-definition/latest/Consultry-MVP-Foundation-Decisions-v1.0.md,aus_quelltext_extrahiert_nicht_neu_verifiziert
https://ai.azure.com/catalog/models?azure-portal=true,archive/repo/product-definition/latest/Consultry-Idea-Presentation-Baseline-v1.0.md | archive/repo/product-definition/latest/Consultry-MVP-Foundation-Decisions-v1.0.md,aus_quelltext_extrahiert_nicht_neu_verifiziert
https://aiagentindex.mit.edu/data/2025-AI-Agent-Index.pdf,archive/repo/product-definition/latest/research/wayfinder-deep-audit-2026-08/fact-logic-decision-graph.yaml | archive/repo/product-definition/latest/research/wayfinder-deep-audit-2026-08/source-register.md,aus_quelltext_extrahiert_nicht_neu_verifiziert
https://airc.nist.gov/airmf-resources/airmf/appendices/app-c-ai-risk-management-and-human-ai-interaction/,archive/repo/product-definition/latest/research/consulting-work-primitives-and-ux-grammar-2026-08.md,aus_quelltext_extrahiert_nicht_neu_verifiziert
https://aisel.aisnet.org/icis2025/conf_theme/conf_theme/7,archive/repo/product-definition/latest/research/wayfinder-deep-audit-2026-08/fact-logic-decision-graph.yaml | archive/repo/product-definition/latest/research/wayfinder-deep-audit-2026-08/source-register.md,aus_quelltext_extrahiert_nicht_neu_verifiziert
https://aiweekly.co/alerts/ai-breaks-consultings-billable-hours-model,archive/repo/product-definition/latest/Consultry-MVP-Foundation-Decisions-v1.0.md,aus_quelltext_extrahiert_nicht_neu_verifiziert
https://arxiv.org/abs/1403.7426,archive/repo/product-definition/archive/superseded-product-baseline-2026-08/Consultry-LinkedIn-Research-Source-Plan-v1.0.md,aus_quelltext_extrahiert_nicht_neu_verifiziert
https://arxiv.org/abs/1406.2061,archive/repo/papers/KnowledgeSources.md,aus_quelltext_extrahiert_nicht_neu_verifiziert
https://arxiv.org/abs/1609.09106,archive/repo/papers/KnowledgeSources.md,aus_quelltext_extrahiert_nicht_neu_verifiziert
https://arxiv.org/abs/1710.10903,archive/repo/papers/KnowledgeSources.md,aus_quelltext_extrahiert_nicht_neu_verifiziert
https://arxiv.org/abs/1805.10872,archive/repo/papers/KnowledgeSources.md,aus_quelltext_extrahiert_nicht_neu_verifiziert
https://arxiv.org/abs/1806.01261,archive/repo/papers/KnowledgeSources.md,aus_quelltext_extrahiert_nicht_neu_verifiziert
https://arxiv.org/abs/1806.07366,archive/repo/papers/KnowledgeSources.md,aus_quelltext_extrahiert_nicht_neu_verifiziert
https://arxiv.org/abs/1906.01563,archive/repo/papers/KnowledgeSources.md,aus_quelltext_extrahiert_nicht_neu_verifiziert
https://arxiv.org/abs/2005.11401,archive/repo/papers/KnowledgeSources.md,aus_quelltext_extrahiert_nicht_neu_verifiziert
https://arxiv.org/abs/2005.14165,archive/repo/product-definition/archive/superseded-product-baseline-2026-08/Consultry-LinkedIn-Research-Source-Plan-v1.0.md,aus_quelltext_extrahiert_nicht_neu_verifiziert
https://arxiv.org/abs/2101.00190,archive/repo/papers/KnowledgeSources.md,aus_quelltext_extrahiert_nicht_neu_verifiziert
https://arxiv.org/abs/2106.05234,archive/repo/papers/KnowledgeSources.md,aus_quelltext_extrahiert_nicht_neu_verifiziert
https://arxiv.org/abs/2106.09685,archive/repo/papers/KnowledgeSources.md | archive/repo/product-definition/archive/superseded-product-baseline-2026-08/Consultry-LinkedIn-Research-Source-Plan-v1.0.md,aus_quelltext_extrahiert_nicht_neu_verifiziert
https://arxiv.org/abs/2210.03629,archive/repo/product-definition/archive/superseded-product-baseline-2026-08/Consultry-LinkedIn-Research-Source-Plan-v1.0.md,aus_quelltext_extrahiert_nicht_neu_verifiziert
https://arxiv.org/abs/2211.15661,archive/repo/product-definition/archive/superseded-product-baseline-2026-08/Consultry-LinkedIn-Research-Source-Plan-v1.0.md,aus_quelltext_extrahiert_nicht_neu_verifiziert
https://arxiv.org/abs/2303.11366,archive/repo/product-definition/archive/superseded-product-baseline-2026-08/Consultry-LinkedIn-Research-Source-Plan-v1.0.md,aus_quelltext_extrahiert_nicht_neu_verifiziert
https://arxiv.org/abs/2304.02145,archive/repo/papers/KnowledgeSources.md,aus_quelltext_extrahiert_nicht_neu_verifiziert
https://arxiv.org/abs/2304.03442,archive/repo/product-definition/archive/superseded-product-baseline-2026-08/Consultry-LinkedIn-Research-Source-Plan-v1.0.md,aus_quelltext_extrahiert_nicht_neu_verifiziert
https://arxiv.org/abs/2305.05176,archive/repo/product-definition/latest/research/wayfinder-deep-audit-2026-08/fact-logic-decision-graph.yaml | archive/repo/product-definition/latest/research/wayfinder-deep-audit-2026-08/source-register.md,aus_quelltext_extrahiert_nicht_neu_verifiziert
https://arxiv.org/abs/2305.10601,archive/repo/product-definition/archive/superseded-product-baseline-2026-08/Consultry-LinkedIn-Research-Source-Plan-v1.0.md,aus_quelltext_extrahiert_nicht_neu_verifiziert
https://arxiv.org/abs/2305.16291,archive/repo/product-definition/archive/superseded-product-baseline-2026-08/Consultry-LinkedIn-Research-Source-Plan-v1.0.md,aus_quelltext_extrahiert_nicht_neu_verifiziert
https://arxiv.org/abs/2309.15217,archive/repo/product-definition/archive/superseded-product-baseline-2026-08/Consultry-LinkedIn-Research-Source-Plan-v1.0.md,aus_quelltext_extrahiert_nicht_neu_verifiziert
https://arxiv.org/abs/2310.03714,archive/repo/product-definition/archive/superseded-product-baseline-2026-08/Consultry-LinkedIn-Research-Source-Plan-v1.0.md,aus_quelltext_extrahiert_nicht_neu_verifiziert
https://arxiv.org/abs/2310.13023,archive/repo/papers/KnowledgeSources.md,aus_quelltext_extrahiert_nicht_neu_verifiziert
https://arxiv.org/abs/2312.10997,archive/repo/product-definition/archive/superseded-product-baseline-2026-08/Consultry-LinkedIn-Research-Source-Plan-v1.0.md,aus_quelltext_extrahiert_nicht_neu_verifiziert
https://arxiv.org/abs/2401.02954,archive/repo/papers/KnowledgeSources.md,aus_quelltext_extrahiert_nicht_neu_verifiziert
https://arxiv.org/abs/2401.06066,archive/repo/papers/KnowledgeSources.md,aus_quelltext_extrahiert_nicht_neu_verifiziert
https://arxiv.org/abs/2401.14196,archive/repo/papers/KnowledgeSources.md,aus_quelltext_extrahiert_nicht_neu_verifiziert
